date,value,realtime_start,realtime_end
2012-06-01,27224,2019-04-09,2019-04-09
2012-07-01,27348,2019-04-09,2019-04-09
2012-08-01,28761,2019-04-09,2019-04-09
2012-09-01,27040,2019-04-09,2019-04-09
2012-10-01,25538,2019-04-09,2019-04-09
2012-11-01,22868,2019-04-09,2019-04-09
2012-12-01,19142,2019-04-09,2019-04-09
2013-01-01,16986,2019-04-09,2019-04-09
2013-02-01,17286,2019-04-09,2019-04-09
2013-03-01,17985,2019-04-09,2019-04-09
2013-04-01,20855,2019-04-09,2019-04-09
2013-05-01,23071,2019-04-09,2019-04-09
2013-06-01,25713,2019-04-09,2019-04-09
2013-07-01,26895,2019-04-09,2019-04-09
2013-08-01,27963,2019-04-09,2019-04-09
2013-09-01,26929,2019-04-09,2019-04-09
2013-10-01,25490,2019-04-09,2019-04-09
2013-11-01,22367,2019-04-09,2019-04-09
2013-12-01,19143,2019-04-09,2019-04-09
2014-01-01,16758,2019-04-09,2019-04-09
2014-02-01,16682,2019-04-09,2019-04-09
2014-03-01,18169,2019-04-09,2019-04-09
2014-04-01,20989,2019-04-09,2019-04-09
2014-05-01,23385,2019-04-09,2019-04-09
2014-06-01,26159,2019-04-09,2019-04-09
2014-07-01,27869,2019-04-09,2019-04-09
2014-08-01,28416,2019-04-09,2019-04-09
2014-09-01,27512,2019-04-09,2019-04-09
2014-10-01,27060,2019-04-09,2019-04-09
2014-11-01,22886,2019-04-09,2019-04-09
2014-12-01,20243,2019-04-09,2019-04-09
2015-01-01,17269,2019-04-09,2019-04-09
2015-02-01,17458,2019-04-09,2019-04-09
2015-03-01,19325,2019-04-09,2019-04-09
2015-04-01,22428,2019-04-09,2019-04-09
2015-05-01,24717,2019-04-09,2019-04-09
2015-06-01,28712,2019-04-09,2019-04-09
2015-07-01,29593,2019-04-09,2019-04-09
2015-08-01,30546,2019-04-09,2019-04-09
2015-09-01,29506,2019-04-09,2019-04-09
2015-10-01,26989,2019-04-09,2019-04-09
2015-11-01,23208,2019-04-09,2019-04-09
2015-12-01,20592,2019-04-09,2019-04-09
2016-01-01,18551,2019-04-09,2019-04-09
2016-02-01,19249,2019-04-09,2019-04-09
2016-03-01,20699,2019-04-09,2019-04-09
2016-04-01,22474,2019-04-09,2019-04-09
2016-05-01,24730,2019-04-09,2019-04-09
2016-06-01,28775,2019-04-09,2019-04-09
2016-07-01,28223,2019-04-09,2019-04-09
2016-08-01,29321,2019-04-09,2019-04-09
2016-09-01,28738,2019-04-09,2019-04-09
2016-10-01,27009,2019-04-09,2019-04-09
2016-11-01,24288,2019-04-09,2019-04-09
2016-12-01,20413,2019-04-09,2019-04-09
2017-01-01,17334,2019-04-09,2019-04-09
2017-02-01,18101,2019-04-09,2019-04-09
2017-03-01,20091,2019-04-09,2019-04-09
2017-04-01,21224,2019-04-09,2019-04-09
2017-05-01,24806,2019-04-09,2019-04-09
2017-06-01,27162,2019-04-09,2019-04-09
2017-07-01,27641,2019-04-09,2019-04-09
2017-08-01,28561,2019-04-09,2019-04-09
2017-09-01,27491,2019-04-09,2019-04-09
2017-10-01,26540,2019-04-09,2019-04-09
2017-11-01,23821,2019-04-09,2019-04-09
2017-12-01,20447,2019-04-09,2019-04-09
2018-01-01,18191,2019-04-09,2019-04-09
2018-02-01,18449,2019-04-09,2019-04-09
2018-03-01,20313,2019-04-09,2019-04-09
2018-04-01,22910,2019-04-09,2019-04-09
2018-05-01,26465,2019-04-09,2019-04-09
2018-06-01,28999,2019-04-09,2019-04-09
2018-07-01,29920,2019-04-09,2019-04-09
2018-08-01,31964,2019-04-09,2019-04-09
2018-09-01,29769,2019-04-09,2019-04-09
2018-10-01,28659,2019-04-09,2019-04-09
2018-11-01,24880,2019-04-09,2019-04-09
2018-12-01,20936,2019-04-09,2019-04-09
2019-01-01,19569,2019-04-09,2019-04-09
2019-02-01,20336,2019-04-09,2019-04-09
